ㄗㄞ zāi ⠓⠺⠄ y9 zai1 hw'
ㄗㄟ zēi ⠓⠴⠄ yo zei1 h0'
ㄗㄠ zāo ⠓⠩⠄ yl zao1 h%'
ㄗㄡ zōu ⠓⠷⠄ y. zou1 h('
ㄗㄢ zān ⠓⠧⠄ y0 zan1 hv'
ㄗㄣ zēn ⠓⠥⠄ yp zen1 hu'
ㄗㄤ zāng ⠓⠭⠄ y; zang1 hx'
ㄗㄥ zēng ⠓⠵⠄ y/ zeng1 hz'
ㄗㄨ zū ⠓⠌⠄ yj zu1 h/'
ㄗㄨㄛ zuō ⠓⠒⠄ yji zuo1 h3'
ㄗㄨㄟ zuī ⠓⠫⠄ yjo zui1 h$'
ㄗㄨㄢ zuān ⠓⠻⠄ yj0 zuan1 h]'
ㄗㄨㄣ zūn ⠓⠿⠄ yjp zun1 h='
ㄗㄨㄥ zōng ⠓⠯⠄ yj/ zong1 h&'
ㄘ cī ⠚⠱⠄ h ci1 j:'
ㄘㄚ cā ⠚⠜⠄ h8 ca1 j>'
ㄘㄜ cē ⠚⠮⠄ hk ce1 j!'
ㄘㄞ cāi ⠚⠺⠄ h9 cai1 jw'
ㄘㄠ cāo ⠚⠩⠄ hl cao1 j%'
ㄘㄡ cōu ⠚⠷⠄ h. cou1 j('
ㄘㄢ cān ⠚⠧⠄ h0 can1 jv'
ㄘㄣ cēn ⠚⠥⠄ hp cen1 ju'
ㄘㄤ cāng ⠚⠭⠄ h; cang1 jx'
ㄘㄥ cēng ⠚⠵⠄ h/ ceng1 jz'
ㄘㄨ cū ⠚⠌⠄ hj cu1 j/'
ㄘㄨㄛ cuō ⠚⠒⠄ hji cuo1 j3'
ㄘㄨㄟ cuī ⠚⠫⠄ hjo cui1 j$'
ㄘㄨㄢ cuān ⠚⠻⠄ hj0 cuan1 j]'
ㄘㄨㄣ cūn ⠚⠿⠄ hjp cun1 j='
ㄘㄨㄥ cōng ⠚⠯⠄ hj/ cong1 j&'
ㄙ sī ⠑⠱⠄ n si1 e:'
